startx,starty,stopx,stopy,length,time,userid
1054,310,1409,610,69,622,100
1409,609,1396,600,16,196,100
1200,499,826,279,52,1242,89
826,280,1210,562,44,769,89
1291,850,950,542,402,36185,42
952,542,798,713,73,653,42
798,712,793,776,52,593,42
794,776,285,404,136,19604,42
284,404,669,350,95,3544,42
669,351,677,414,60,744,42
677,415,699,513,77,1779,42
699,514,869,738,166,3910,42
870,738,1315,872,120,2228,42
979,539,547,469,67,5470,16
547,463,566,369,20,954,16
569,369,964,525,47,1000,16
1304,852,574,365,335,7727,154
574,366,579,195,238,7747,154
582,195,578,283,283,6774,154
578,284,1297,856,303,7395,154
1118,665,542,297,233,4042,29
542,298,498,452,55,929,29
498,446,487,227,79,1958,29
478,239,421,212,49,663,29
403,223,138,378,11,260,29
162,375,460,342,23,390,29
443,348,174,430,28,424,29
198,424,538,398,33,689,29
524,410,215,434,41,493,29
231,428,504,318,22,381,29
501,318,456,303,24,348,29
455,305,136,385,21,301,29
162,386,450,526,40,463,29
470,529,1139,672,71,1214,29
1115,535,410,413,246,5003,11
408,413,890,502,100,2779,11
893,502,1117,678,69,4425,11
1387,925,1041,398,293,9122,153
1041,399,1084,348,66,1124,153
1084,350,1005,522,34,585,153
1005,519,1090,282,170,2876,153
1090,283,1091,475,104,2504,153
1091,476,1376,929,133,1819,153
1633,1264,975,368,65,4769,27
974,368,977,542,125,4727,27
978,540,1018,658,96,7795,27
1018,657,1634,1251,140,49446,27
769,315,66,200,266,12354,18
66,201,68,208,171,7209,18
72,205,767,336,111,24255,18
1074,694,545,285,605,22585,165
540,296,490,418,16,439,165
490,408,812,562,192,7997,165
802,561,585,555,104,4046,165
584,551,1119,680,155,8031,165
873,478,152,200,82,3388,20
152,200,872,433,56,1525,20
1106,591,366,322,116,4790,162
367,322,371,129,64,3266,162
371,130,520,444,99,5553,162
520,443,967,422,80,19930,162
968,421,538,501,75,6524,162
539,500,633,461,122,10074,162
634,461,1102,594,39,1123,162
